Species,Predicted mass (kg),Ref mass (kg),% Error
H,1.6573375939314045e-27,1.6735576934604897e-27,-0.97% 🩷🡇
He,6.753669799675212e-27,6.646476991348174e-27,1.61% 🟢🡅
Li,1.185000200541902e-26,1.1524141126186498e-26,2.83% 🟡🡅
Be,1.5226836905256626e-26,1.496511018118414e-26,1.75% 🟢🡅
B,1.8603671805094232e-26,1.7950427316149283e-26,3.64% 🟡🡅
C,2.0261009399025636e-26,1.994473473582507e-26,1.59% 🟢🡅
N,2.3637844298863241e-26,2.325867255218392e-26,1.63% 🟢🡅
O,2.701467919870085e-26,2.656696453571437e-26,1.69% 🟢🡅
F,3.211101140444466e-26,3.154692119816874e-26,1.79% 🟢🡅
Ne,3.376834899837606e-26,3.3509678375568226e-26,0.77% 🩷🡅
Na,3.886468120411987e-26,3.817540956980222e-26,1.81% 🟢🡅
Mg,4.052201879805127e-26,4.035940202766034e-26,0.40% 🩷🡅
Al,4.5618351003795085e-26,4.480389877170523e-26,1.82% 🟢🡅
Si,4.7275688597726483e-26,4.663623970157749e-26,1.37% 🟢🡅
P,5.23720208034703e-26,5.1433141858344745e-26,1.83% 🟢🡅
S,5.40293583974017e-26,5.323688249359353e-26,1.49% 🟢🡅
Cl,5.912569060314551e-26,5.886610993131287e-26,0.44% 🩷🡅
Ar,6.766101742070172e-26,6.633521465546083e-26,2.00% 🟢🡅
K,6.587936040282073e-26,6.492425461008321e-26,1.47% 🟢🡅
Ca,6.753669799675212e-26,6.655108473419344e-26,1.48% 🟢🡅
Sc,7.607202481430833e-26,7.464953376480028e-26,1.91% 🟢🡅
Ti,8.116835702005215e-26,7.948502352841052e-26,2.12% 🟢🡅
V,8.626468922579596e-26,8.45911811599701e-26,1.98% 🟢🡅
Cr,8.792202681972735e-26,8.634138933677134e-26,1.83% 🟢🡅
Mn,9.301835902547117e-26,9.122669527239679e-26,1.96% 🟢🡅
Fe,9.467569661940257e-26,9.273280420632346e-26,2.10% 🟢🡅
Co,9.977202882514638e-26,9.786054884575631e-26,1.95% 🟢🡅
Ni,9.970986911317158e-26,9.746201946963458e-26,2.31% 🟢🡅
Cu,1.082451959307278e-25,1.0552061556262928e-25,2.58% 🟡🡅
Zn,1.099025335246592e-25,1.0856604421182608e-25,1.23% 🟢🡅
Ga,1.184378603422154e-25,1.1577776538056212e-25,2.30% 🟢🡅
Ge,1.235341925479592e-25,1.2060495244883648e-25,2.43% 🟢🡅
As,1.2691102744779683e-25,1.2441090799079895e-25,2.01% 🟢🡅
Se,1.3372685695944684e-25,1.3113443067378584e-25,1.98% 🟢🡅
Br,1.3538419455337825e-25,1.3268371362345906e-25,2.04% 🟢🡅
Kr,1.4220002406502824e-25,1.3914985275103401e-25,2.19% 🟢🡅
Rb,1.4385736165895964e-25,1.4192295299321434e-25,1.36% 🟢🡅
Sr,1.4895369386470346e-25,1.4549643306577245e-25,2.38% 🟢🡅
Y,1.5061103145863487e-25,1.4763188630615803e-25,2.02% 🟢🡅
Zr,1.5398786635847247e-25,1.51481015863867e-25,1.65% 🟢🡅
Nb,1.573647012583101e-25,1.542740425748534e-25,2.00% 🟢🡅
Mo,1.6246103346405386e-25,1.593287234953306e-25,1.97% 🟢🡅
Tc,1.6583786836389149e-25,1.6273282858303698e-25,1.91% 🟢🡅
Ru,1.709342005696353e-25,1.6783068351926068e-25,1.85% 🟢🡅
Rh,1.743110354694729e-25,1.7088607540286058e-25,2.00% 🟢🡅
Pd,1.7940736767521673e-25,1.7671456752864078e-25,1.52% 🟢🡅
Ag,1.8278420257505433e-25,1.7912234917604285e-25,2.04% 🟢🡅
Cd,1.8960003208670432e-25,1.866611965410121e-25,1.57% 🟢🡅
In,1.9469636429244814e-25,1.9066309569290108e-25,2.12% 🟢🡅
Sn,2.0151219380409815e-25,1.9712259266420733e-25,2.23% 🟢🡅
Sb,2.0660852600984197e-25,2.0218723681908758e-25,2.19% 🟢🡅
Te,2.1686335013330434e-25,2.118847849713828e-25,2.35% 🟢🡅
I,2.1508169311542335e-25,2.1072983023399147e-25,2.07% 🟢🡅
Xe,2.218975226270734e-25,2.1801217412925434e-25,1.78% 🟢🡅
Cs,2.25274357526911e-25,2.2070224741807596e-25,2.07% 🟢🡅
Ba,2.32090187038561e-25,2.280418300949844e-25,1.78% 🟢🡅
La,2.3546702193839863e-25,2.3066548182111905e-25,2.08% 🟢🡅
Ce,2.3712435953233e-25,2.326747340923994e-25,1.91% 🟢🡅
Pr,2.387816971262614e-25,2.3398655995546673e-25,2.05% 🟢🡅
Nd,2.4387802933200523e-25,2.3951615504915565e-25,1.82% 🟢🡅
Pm,2.455353669259366e-25,2.4077816474020777e-25,1.98% 🟢🡅
Sm,2.5407069374349282e-25,2.4967865414025964e-25,1.76% 🟢🡅
Eu,2.5744752864333047e-25,2.5233551664773776e-25,2.03% 🟢🡅
Gd,2.659828554608866e-25,2.611197683130874e-25,1.86% 🟢🡅
Tb,2.6935969036072426e-25,2.639094739459395e-25,2.07% 🟢🡅
Dy,2.761755198723743e-25,2.698375984157501e-25,2.35% 🟢🡅
Ho,2.795523547722119e-25,2.738727083489826e-25,2.07% 🟢🡅
Er,2.8292918967204945e-25,2.777417643754976e-25,1.87% 🟢🡅
Tm,2.8630602457188705e-25,2.8051486461767794e-25,2.06% 🟢🡅
Yb,2.9312185408353714e-25,2.873562855744342e-25,2.01% 🟢🡅
Lu,2.964986889833747e-25,2.9054452058340798e-25,2.05% 🟢🡅
Hf,3.015950211891185e-25,2.9638961809985993e-25,1.76% 🟢🡅
Ta,3.0669135339486233e-25,3.0047454420510756e-25,2.07% 🟢🡅
W,3.1178768560060613e-25,3.0527350210924e-25,2.13% 🟢🡅
Re,3.1516452050044373e-25,3.0920897969844204e-25,1.93% 🟢🡅
Os,3.2198035001209377e-25,3.1588434674848085e-25,1.93% 🟢🡅
Ir,3.2535718491193137e-25,3.191888194921568e-25,1.93% 🟢🡅
Pt,3.3045351711767516e-25,3.23937961224274e-25,2.01% 🟢🡅
