base,mean,std,count,is_amphi,flag
10_1,-0.5025420733525957,0.003918843978204688,2,False,
12a_1202,-0.5953302019653928,0.1348172649735234,2,True,WARN(amphi≠−0.5)
15331,-0.5000000001819956,,1,True,
1_1,-0.5,,1,False,
3_1,-0.4849228746815004,0.01891044592032267,3,False,
4_1,-0.503495824034555,0.00916448412353731,4,True,
5_1,-0.48098277296558245,0.013950591862554592,3,False,
5_2,-0.5112870048756861,0.0687812158065043,3,False,
6_1,-0.4810276227543274,,1,False,
6_2,-0.4623098594426633,0.0229474115955501,3,False,
6_3,-0.48421872816384076,0.022318089664029227,2,True,
7_1,-0.4602035166820165,0.04768028616618397,2,False,
7_2,-0.42524410471952584,0.06907409266829137,3,False,
7_3,-0.36074104203396234,0.27277784536463334,2,False,
7_4,-0.5801849567607953,,1,False,
7_5,-0.5510394179842539,0.17245331143785325,2,False,
7_6,-0.4598715068415482,0.005492788678076989,2,False,
7_7,-0.5412828023290143,,1,False,
8_1,-0.4649360089485291,0.05847345522516853,2,False,
8_10,-0.5515292847479168,,1,False,
8_11,-0.4233638105991776,0.00594458776019648,2,False,
8_12,-0.41378342973885285,0.12192864527628788,2,True,WARN(amphi≠−0.5)
8_13,-0.47882712474331457,0.0788475738493533,2,False,
8_14,-0.42307357790310396,0.015631776198582588,2,False,
8_15,-0.3668528442114518,0.08364185090600428,3,False,
8_16,-0.5250586634913068,,1,False,
8_17,-0.5019807490171049,,1,False,
8_18,-0.47382989544841997,0.09275762831951713,2,False,
8_19,-0.49067239223306847,0.006809804299070965,2,False,
8_2,-0.38765769542499795,0.009099475803638271,2,False,
8_20,-0.4618629509161978,,1,False,
8_21,-0.4310253616368776,0.048570486607881456,3,False,
8_3,-0.48511423422040206,0.07778219926585138,3,True,
8_4,-0.5697904310331384,0.07685675147525994,2,False,
8_5,-0.504033857431001,,1,False,
8_6,-0.46311801713210604,0.00957603743012429,2,False,
8_7,-0.5379276154599042,0.014938818307592831,2,False,
8_8,-0.5910250793318442,,1,False,
8_9,-0.513423831521842,,1,True,
9_2,-0.5026120071439253,0.007057835195472302,2,False,
