file,knot_id,harmonics_N,closure_error,length_series_units,scale_m_per_unit,length_m,writhe,crossing_est,sigma,sigma_source,Hvortex_X(b0=3),hyperbolic_volume_meta,Hvortex_Vol(Vol/Vol(4_1)),xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,type_meta,chiral_meta
knot.1_1.fseries,1_1,1,0.0,0.0,1.0,0.0,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.3_1.fseries,3_1,5,0.005562643223971218,8.719919642979043,1.0,8.719919642979043,0.0013040433920560412,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.3_1p.fseries,3_1p,10,0.0021028749137397365,3.149190256354211,1.0,3.149190256354211,0.01068537304790169,1,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.3_1u.fseries,3_1u,5,0.007899377948615281,11.440250455068934,1.0,11.440250455068934,-0.0012189594779743614,1,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.4_1.fseries,4_1,10,0.002661137070911224,3.824577994233626,1.0,3.824577994233626,-0.5015992618226105,1,-1.0,writhe_fallback,-0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,,
knot.4_1d.fseries,4_1d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.4_1p.fseries,4_1p,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
knot.4_1z.fseries,4_1z,10,0.0036820247124088917,4.05031074957196,1.0,4.05031074957196,-0.0025458784896118546,1,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_1.fseries,5_1,7,0.007411968361181637,11.465303673480427,1.0,11.465303673480427,0.009280993426684451,3,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_1p.fseries,5_1p,10,0.0022715866762565203,3.8407927175301886,1.0,3.8407927175301886,0.04083257376708147,3,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_1u.fseries,5_1u,7,0.014791082007003105,21.993559427779164,1.0,21.993559427779164,0.01670604730594412,4,1.0,writhe_fallback,1.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,2.165183570923611e-37,1.8092102276319988e-07,,
knot.5_2.fseries,5_2,10,0.003406518599631869,3.987834223537823,1.0,3.987834223537823,0.00525810486055527,1,1.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,,
knot.5_2d.fseries,5_2d,11,,,1.0,,0.0,0,0.0,writhe_fallback,0.0,,,1.0,9.844625550645778e-39,8.226091068037216e-09,,,,
