N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917825845863488,nan,0.9949833403907249,0.09822334332417008,1.4054315611449513e-15,0.9974885140009396,0.0,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5501484493744766e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled; no-contact case
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917825845863488,nan,0.9949833403907249,0.09822334332417008,1.4054315611449513e-15,0.9974885140009396,0.001,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5521861413382275e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917825845863488,nan,0.9949833403907249,0.09822334332417008,1.4054315611449513e-15,0.9974885140009396,0.003,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.556228715384491e-36,-0.012687852530933186,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917825845863488,nan,0.9949833403907249,0.09822334332417008,1.4054315611449513e-15,0.9974885140009396,0.01,2,1,1,closest_to_a_nc,1.3474170810069776e-15,0.9563134193302173,1.5696623118465277e-36,-0.03757971307365682,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207770408044601,0.03749727652822461,1.1570825547941763,0.05203486027285875,1.5155978146933333e-15,1.0756777162239946,0.0,2,1,1,closest_to_a_nc,1.5125870147192006e-15,1.0735408363678847,1.416994427233456e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled; no-contact case
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207770408044601,0.03749727652822461,1.1570825547941763,0.05203486027285875,1.5155978146933333e-15,1.0756777162239946,0.001,2,1,1,closest_to_a_nc,1.5125870147192006e-15,1.0735408363678847,1.4195584503121128e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207770408044601,0.03749727652822461,1.1570825547941763,0.05203486027285875,1.5155978146933333e-15,1.0756777162239946,0.003,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4245804548611586e-36,-0.013704620118288213,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207770408044601,0.03749727652822461,1.1570825547941763,0.05203486027285875,1.5155978146933333e-15,1.0756777162239946,0.01,2,1,1,closest_to_a_nc,1.4553951656573154e-15,1.0329495944242137,1.4412248744242365e-36,-0.04059124194367092,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.0901728683258493,0.03440565878842709,1.1331456827424315,0.06555850698265145,1.499839101698793e-15,1.0644931550955354,0.0,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4558409825534314e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled; no-contact case
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.0901728683258493,0.03440565878842709,1.1331456827424315,0.06555850698265145,1.499839101698793e-15,1.0644931550955354,0.001,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4583071641325582e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled
