N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
4000,2000,plateau_0.12,0.12,2,0.0,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598362162495965,True,1.4558410598782707e-36,1,1,closest_to_a_nc,nan,nan,6.283001670797554,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0598362162495965,-0.13314556268708255,0.0,False
4000,2000,plateau_0.12,0.12,2,0.001,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598362162495965,True,1.4558684453502786e-36,1,1,continuation,1.0598362162495965,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0598362162495965,-0.1251061875428269,0.0,False
4000,2000,plateau_0.12,0.12,2,0.003,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598362162495965,True,1.4559232162942945e-36,1,1,continuation,1.0598362162495965,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0463065467305068,-0.1090274372543156,0.013529669519089627,False
4000,2000,plateau_0.12,0.12,2,0.01,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598362162495965,True,1.4561149145983503e-36,1,1,continuation,1.0598362162495965,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0197631544553216,-0.05275181124452602,0.040073061794274834,False
8000,2000,plateau_0.12,0.12,2,0.0,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4558410579825443e-36,1,1,closest_to_a_nc,nan,nan,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.059836484506365,-0.13314556268708255,0.0,False
8000,2000,plateau_0.12,0.12,2,0.001,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4558684436758769e-36,1,1,continuation,1.059836484506365,0.0,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.059836484506365,-0.12510619446314583,0.0,False
8000,2000,plateau_0.12,0.12,2,0.003,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4559232150625422e-36,1,1,continuation,1.059836484506365,0.0,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0463068115627558,-0.10902745801527239,0.013529672943609183,False
8000,2000,plateau_0.12,0.12,2,0.01,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4561149149158709e-36,1,1,continuation,1.059836484506365,0.0,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.019763412569132,-0.052751880447715324,0.040073071937233085,False
16000,2000,plateau_0.12,0.12,2,0.0,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4558410579825443e-36,1,1,closest_to_a_nc,nan,nan,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.059836484506365,-0.13314556268708255,0.0,False
16000,2000,plateau_0.12,0.12,2,0.001,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4558684436758769e-36,1,1,continuation,1.059836484506365,0.0,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.059836484506365,-0.12510619446314583,0.0,False
