knot_id,N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.01,plateau_0.01,8,0.0017269871086316245,0.00900740847103115,0.007280421362399525,0.007299510353934719,0.004437935231485037,0.079630105377193,0.07851584936109575,0.02153885521149441,0.04817971105691142,0.12366157960837376,-0.0010616221848519236,0.045021459691489615,0.02641003408102378,0.06348269658397923,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.02,plateau_0.02,11,0.0017269871086316245,0.018281791673839844,0.01655480456520822,0.01659821064137905,0.005618933932999246,0.09248954333620173,0.079630105377193,0.01867546878212137,0.04817971105691142,0.12366157960837376,5.263383124533283e-05,0.05054035073067246,0.02641003408102378,0.06506736917676097,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.04,plateau_0.04,14,0.0017269871086316245,0.037105445798376074,0.03537845868974445,0.0354712196804674,0.00900740847103115,0.07740159334499849,0.07944170904917353,0.016572109961000347,0.04817971105691142,0.12366157960837376,-0.0001357624967741472,0.05422291617755755,0.02641003408102378,0.07542529851834286,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.06,plateau_0.06,16,0.0017269871086316245,0.059481729237431946,0.05775474212880032,0.05790617289478701,0.011404410038973415,0.08803674128448676,0.0795375377263635,0.015502028168663572,0.04817971105691142,0.12366157960837376,-3.9933819584170305e-05,0.05753148199105763,0.02641003408102378,0.08920407302234687,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.08,plateau_0.08,17,0.0017269871086316245,0.07531067700910102,0.07358368990046939,0.07377662357335991,0.011404410038973415,0.08803674128448676,0.07950562648987464,0.01503961878714589,0.04817971105691142,0.12366157960837376,-7.184505607303604e-05,0.06054465329312543,0.02641003408102378,0.09757581203653001,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.1,plateau_0.10,18,0.0017269871086316245,0.09535193654053904,0.09362494943190741,0.09387043053502307,0.01443928836527478,0.0736673023347129,0.07940339182921032,0.014616219127067858,0.04817971105691142,0.12366157960837376,-0.00017407971673735756,0.06201367493855233,0.02641003408102378,0.10816482489372548,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.12,plateau_0.12,18,0.0017269871086316245,0.09535193654053904,0.09362494943190741,0.09387043053502307,0.01443928836527478,0.0736673023347129,0.07940339182921032,0.014616219127067858,0.04817971105691142,0.12366157960837376,-0.00017407971673735756,0.06201367493855233,0.02641003408102378,0.10816482489372548,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.14,plateau_0.14,19,0.0017269871086316245,0.1207264648667579,0.11899947775812626,0.11931148992205803,0.01443928836527478,0.0736673023347129,0.079301157168546,0.014226952190886816,0.04817971105691142,0.12366157960837376,-0.0002763143774016791,0.06348269658397923,0.02641003408102378,0.12103755381649732,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,32000,32000,32000,16.371498082260015,0.9973848942450086,0.16,plateau_0.16,20,0.0017269871086316245,0.15285352188969956,0.15112653478106794,0.15152278288259652,0.018281791673839844,0.08409147318825812,0.07928704445598511,0.013868175538347944,0.04817971105691142,0.12366157960837376,-0.00029042708996256106,0.06365838818796757,0.02641003408102378,0.1370391281481405,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
9;1:2,48000,48000,48000,16.37149808226001,0.9973848903377615,0.01,plateau_0.01,9,0.0011615174318638833,0.008831991763922091,0.007670474332058208,0.007690586057966674,0.0032028912550809085,0.06624925713785633,0.08140805545422615,0.01375097279487102,0.052452454486815354,0.10530489184507347,0.001830583908278477,0.047072580866079954,0.025331004240007105,0.05921287646021984,0.0001,fallback hardcoded 30-mode coefficients,local_cpp_scan
