a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0003003617724799525,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.00039536363609151944,0.13030377507101515,0.050726303525067476,0.060186807271713175,1,1,1,1,1,1,1,1,1
0.0005204137778682886,0.048260654738532985,-0.03131681680741469,0.02371897843978016,1,1,1,1,1,1,1,1,1
0.0006850162115881902,0.1097355259017537,0.030158054355806027,0.055242735171103445,1,1,1,1,1,1,1,1,1
0.0009016809894249144,0.05528037205860371,-0.02429709948734396,0.029456330300954747,1,1,1,1,1,1,1,1,1
0.0011868749862215806,0.08639183162803181,0.006814360082084137,0.0474313279780209,1,1,1,1,1,1,1,1,1
0.0015622734087106774,0.08093612508884536,0.0013586535428976865,0.046648610937549406,1,1,1,1,1,1,1,1,1
0.0020564071464126542,0.08504971708665542,0.005472245540707743,0.05141811812229873,1,1,1,1,1,1,1,1,1
0.0027068311655557248,0.07393256783814574,-0.005644903707801935,0.04711989017146053,1,1,1,1,1,1,1,1,1
0.003562978747474884,0.0781545455601073,-0.0014229259858403731,0.05227384665606624,1,1,1,1,1,1,1,1,1
0.00468991849824198,0.08095449287815541,0.0013770213322077396,0.0571331683065064,0,1,1,1,1,1,1,1,1
0.006173299668357722,0.08152850385127706,0.001951032305329392,0.061024814236005226,0,1,1,1,1,1,1,1,1
0.008125861634830324,0.07746738432422098,-0.002110087221726689,0.06175352749554935,0,1,1,1,1,1,1,1,1
0.010696002276846082,0.08022262063097853,0.000645149085030855,0.06815893295859993,0,0,1,1,1,1,1,1,1
0.014079056455492478,0.08044691886083939,0.0008694473148917192,0.07334888337658858,0,0,1,1,1,1,1,1,1
0.018532141780301985,0.07876664790650788,-0.000810823639439795,0.07750151669557248,0,0,0,1,1,1,1,1,1
0.024393699964974053,0.07954010782355075,-3.736372239691865e-05,0.0848375958327812,0,0,0,1,1,1,1,1,1
0.03210921894703304,0.07997025356760704,0.00039278202165936305,0.09320355548565844,0,0,0,0,1,1,1,1,1
0.04226509069427271,0.07918186803295273,-0.00039560351299494645,0.10177003913344852,0,0,0,0,0,0,1,1,1
0.05563317794624084,0.07958182165447948,4.350108531808727e-06,0.11387294098037222,0,0,0,0,0,0,0,1,1
0.07322947703546524,0.0795690312290494,-8.440316898269962e-06,0.1284856817227809,0,0,0,0,0,0,0,0,0
0.09639133525806574,0.07906432258358242,-0.000513148962365248,0.14649293842205302,0,0,0,0,0,0,0,0,0
0.12687909143927148,0.07917224743745956,-0.00040522410848811696,0.17187075736278148,0,0,0,0,0,0,0,0,0
