knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,scan_idx,a_scan_m,a_scan_over_rc,E_scan_J,ideal_source,bs_backend
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,0,0.0007853981633974487,557427105356.9918,3.189054463223891,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,1,0.0009856104322231898,699525407428.0293,3.189054463223891,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,2,0.0012368604478332549,877847149761.3429,3.064054526051301,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,3,0.0015521586596476409,1101626345749.8472,2.964054604585416,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,4,0.0019478321171475883,1382450926656.3027,2.8092929040121444,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,5,0.0024443699315203696,1734862798067.875,2.6912376154725535,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,6,0.0030674842608461716,2177110861648.8108,2.5957833998614466,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,7,0.0038494417596956765,2732095995826.282,2.4799415215853577,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,8,0.004830734439433222,3428556929230.959,2.3581696824185583,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,9,0.006062176461184088,4302558414834.3525,2.2385796151887676,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
