dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,10,24000.0,96000.0,2.6,0.07958001338879697,0.07957747154594767,2.5418428492990364e-06,0.0005002110018972378,2.5021104641903846e-06,0.00018526770191196196,powerlaw_gridsearch,4,True,False,False,1.0,0.00048339213162079675,0.00011285672779687284,0.0003705354038239239,0.00029050240346080447,False,,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0770193650813;0.0790039182147;0.0782506769841;0.0789648040723;0.0789286464748;0.0799498492689;0.0803965411504;0.0791741124147;0.0794646148182;0.0790940794143
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,10,24000.0,96000.0,2.62,0.9999958986712405,1.0,-4.101328759498202e-06,0.003148146540657421,9.910826641453286e-05,0.0011662587492056176,powerlaw_gridsearch,4,True,False,False,1.0,0.0030418688219709944,0.0007093513235597593,0.002332517498411235,0.0018282485500343837,False,,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.98379565261;0.996389741152;0.991628462584;0.996143058733;0.995914968103;1.00233698748;1.00513319128;0.997462400126;0.999290648676;0.996958131178
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,10,24000.0,96000.0,2.62,0.9999958986712405,1.0,-4.101328759498202e-06,0.0031481465406574534,9.91082664145349e-05,0.0011662587492056176,powerlaw_gridsearch,4,True,False,False,1.0,0.0030418688219709944,0.0007093513235597593,0.002332517498411235,0.0018282485500343837,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.98379565261;0.996389741152;0.991628462584;0.996143058733;0.995914968103;1.00233698748;1.00513319128;0.997462400126;0.999290648676;0.996958131178
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,10,24000.0,96000.0,2.6,-3.1941739287681845e-05,0.0,-3.1941739287681845e-05,0.006285836835220638,0.00039511744719016603,0.0023281426050963394,powerlaw_gridsearch,4,True,False,False,1.0,0.006074484678011971,0.0014181994678192922,0.004656285210192679,0.003650560866250596,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0321461139059;0.00720748372718;0.0166729921928;0.00769900653773;0.00815337630755;-0.004679436475;-0.0102927322088;0.00506876033407;0.00141819946782;0.00607448467801
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,10,24000.0,96000.0,2.62,0.9999960442241994,1.0,-3.9557758005903665e-06,0.003118156865960864,9.722902240738878e-05,0.0011551544603370378,powerlaw_gridsearch,4,True,False,False,1.0,0.003012883634923025,0.0007025747142489491,0.0023103089206740757,0.0018108316009668446,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.98394784719;0.996424120873;0.991707767006;0.99617977758;0.995953848674;1.00231458653;1.0050838354;0.997486593685;0.999297425286;0.996987116365
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,10,24000.0,96000.0,2.6,-3.1941739287681845e-05,0.0,-3.1941739287681845e-05,0.006285836835220638,0.00039511744719016603,0.0023281426050963394,powerlaw_gridsearch,4,True,False,False,1.0,0.006074484678011971,0.0014181994678192922,0.004656285210192679,0.003650560866250596,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0321461139059;0.00720748372718;0.0166729921928;0.00769900653773;0.00815337630755;-0.004679436475;-0.0102927322088;0.00506876033407;0.00141819946782;0.00607448467801
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,10,24000.0,96000.0,2.62,0.9999963135843535,1.0,-3.686415646519947e-06,0.0030598514286926614,9.362690765672521e-05,0.0011335647933121695,powerlaw_gridsearch,4,True,False,False,1.0,0.0029565318157435128,0.0006894022291191737,0.002267129586624339,0.00177696974535424,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.984244027741;0.996490963388;0.991862009083;0.996251169249;0.996029444636;1.00227105327;1.00498793933;0.997533628026;0.999310597771;0.997043468184
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,10,24000.0,96000.0,2.6,-3.1941739287681845e-05,0.0,-3.1941739287681845e-05,0.006285836835220638,0.00039511744719016603,0.0023281426050963394,powerlaw_gridsearch,4,True,False,False,1.0,0.006074484678011971,0.0014181994678192922,0.004656285210192679,0.003650560866250596,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0321461139059;0.00720748372718;0.0166729921928;0.00769900653773;0.00815337630755;-0.004679436475;-0.0102927322088;0.00506876033407;0.00141819946782;0.00607448467801
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,10,24000.0,96000.0,2.62,0.9999970648619787,1.0,-2.9351380212983003e-06,0.0028718292987063424,8.24740352090816e-05,0.0010639356272284517,powerlaw_gridsearch,4,True,False,False,1.0,0.0027748165118548496,0.0006469452573979462,0.0021278712544569034,0.0016677723345631668,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.98520159088;0.996706531999;0.992359913253;0.996481420298;0.996273266347;1.00213082448;1.00467921412;0.997685282408;0.999353054743;0.997225183488
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,10,24000.0,96000.0,2.6,-3.1941739287681845e-05,0.0,-3.1941739287681845e-05,0.006285836835220638,0.00039511744719016603,0.0023281426050963394,powerlaw_gridsearch,4,True,False,False,1.0,0.006074484678011971,0.0014181994678192922,0.004656285210192679,0.003650560866250596,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0321461139059;0.00720748372718;0.0166729921928;0.00769900653773;0.00815337630755;-0.004679436475;-0.0102927322088;0.00506876033407;0.00141819946782;0.00607448467801
