N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,postcheck_root_selection_mode,postcheck_contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
4000,2000,plateau_0.06,0.06,2,0.0,0.16776684859624813,2.108220396263537,1.4519712105491407,1.4519712105491407,True,3.3119396064804047e-37,1,1,targeted_x_nc,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.1082203962635369,legacy,1.4519712105491407,-1.1082203962635369,0.0,False
4000,2000,plateau_0.06,0.06,2,0.001,0.16776684859624813,2.108220396263537,1.4519712105491407,1.4443413598495185,True,3.3493040612703107e-37,1,1,targeted_x_nc_fallback,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.1082203962635369,legacy,1.440456565872714,-1.100177102757785,0.0038847939768045237,False
4000,2000,plateau_0.08,0.08,2,0.0,0.1732642684053134,2.1773030110069707,1.4755687076537543,1.4755687076537543,True,2.061900065891382e-37,1,1,targeted_x_nc,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.1773030110069707,legacy,1.4755687076537543,-1.1773030110069707,0.0,False
4000,2000,plateau_0.08,0.08,2,0.001,0.1732642684053134,2.1773030110069707,1.4755687076537543,1.467263155612267,True,2.104207236625594e-37,1,1,targeted_x_nc_fallback,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.1773030110069707,legacy,1.463386533339133,-1.1692597175012187,0.0038766222731341227,False
4000,2000,plateau_0.10,0.1,2,0.0,0.15874632533615196,1.994865157841721,1.4123969547693456,1.4123969547693456,True,7.179922923045079e-37,1,1,targeted_x_nc,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.9948651578417209,legacy,1.4123969547693456,-0.9948651578417209,0.0,False
4000,2000,plateau_0.10,0.1,2,0.001,0.15874632533615196,1.994865157841721,1.4123969547693456,1.4058137306922904,True,7.20990177334629e-37,1,1,targeted_x_nc,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.9948651578417209,legacy,1.401916331813818,-0.986821864335969,0.0038973988784725133,False
4000,2000,plateau_0.12,0.12,2,0.0,0.13384674509784494,1.6819678044251813,1.2969070145639514,1.2969070145639514,True,1.3418151860534143e-36,1,1,targeted_x_nc,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.6819678044251813,legacy,1.2969070145639514,-0.6819678044251813,0.0,False
4000,2000,plateau_0.12,0.12,2,0.001,0.13384674509784494,1.6819678044251813,1.2969070145639514,1.292851746719317,True,1.3432167463223852e-36,1,1,targeted_x_nc,nan,nan,6.282101548558266,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.6819678044251813,legacy,1.2889241753974414,-0.6739245109194294,0.0039275713218756,False
8000,2000,plateau_0.06,0.06,2,0.0,0.16776684859624813,2.108220396263537,1.4519712105491407,1.4519712105491407,True,3.3119396064804047e-37,1,1,targeted_x_nc,nan,nan,6.281930463177002,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.1082203962635369,legacy,1.4519712105491407,-1.1082203962635369,0.0,False
8000,2000,plateau_0.06,0.06,2,0.001,0.16776684859624813,2.108220396263537,1.4519712105491407,1.444340320148894,True,3.349308889106881e-37,1,1,targeted_x_nc_fallback,nan,nan,6.281930463177002,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.1082203962635369,legacy,1.4404551863092259,-1.100176357680655,0.0038851338396681534,False
