file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hswirl_X(b0=3),mass_rhof_kg,mass_rhoE_kg
knot.10_1.fseries,10_1\knot.10_1.fseries,.fseries,10_1,0.017749192869036076,42.651139694088364,42.651139694088364,-3.355620922046083,12,-1.0,-9.0,-3.778960498950142e-36,-3.1576694356688935e-06
knot.10_1n.fseries,10_1\knot.10_1n.fseries,.fseries,10_1n,0.017784655283111784,42.64328699199989,42.64328699199989,-3.3630362023694884,12,-1.0,-9.0,-3.7782647367450704e-36,-3.1570880622859066e-06
knot.1_1.fseries,1_1\knot.1_1.fseries,.fseries,1_1,0.0026179931303488974,6.283183512835025,6.283183512835025,0.0,0,0.0,0.0,0.0,0.0
knot.3_1.fseries,3_1\knot.3_1.fseries,.fseries,3_1,0.006262860287759012,15.228405886374807,15.228405886374807,3.4170872096009512,3,1.0,0.0,0.0,0.0
knot.3_1p.fseries,3_1\knot.3_1p.fseries,.fseries,3_1p,0.0017280098100316123,5.137075945772142,5.137075945772142,3.5988105496146625,3,1.0,0.0,0.0,0.0
knot.3_1u.fseries,3_1\knot.3_1u.fseries,.fseries,3_1u,0.00692654717223432,16.846652734868055,16.846652734868055,3.8909368765215295,4,1.0,1.0,1.658489880698069e-37,1.3858209968326893e-07
knot.4_1.fseries,4_1\knot.4_1.fseries,.fseries,4_1,0.0026023950987655703,6.167822047037545,6.167822047037545,0.19861551854518641,4,1.0,1.0,6.071989855757144e-38,5.073706588502996e-08
knot.4_1d.fseries,4_1\knot.4_1d.fseries,.fseries,4_1d,0.003100859954594981,6.417758880624405,6.417758880624405,-0.002189875048437929,4,0.0,0.0,0.0,0.0
knot.4_1p.fseries,4_1\knot.4_1p.fseries,.fseries,4_1p,0.0019431337913348495,5.2756489111286085,5.2756489111286085,0.1108717604953158,5,1.0,2.0,1.0387357620440808e-37,8.67959368311488e-08
knot.4_1z.fseries,4_1\knot.4_1z.fseries,.fseries,4_1z,0.003118845410100561,6.412925825933625,6.412925825933625,-0.0021896308315458284,4,0.0,0.0,0.0,0.0
knot.5_1.fseries,5_1\knot.5_1.fseries,.fseries,5_1,0.0046386354485075726,11.465225297524196,11.465225297524196,0.006648569884004254,3,1.0,0.0,0.0,0.0
knot.5_1p.fseries,5_1\knot.5_1p.fseries,.fseries,5_1p,0.0022192950192040295,5.685396616637989,5.685396616637989,6.422460156573354,5,1.0,2.0,1.119412016718702e-37,9.353718071663171e-08
knot.5_1u.fseries,5_1\knot.5_1u.fseries,.fseries,5_1u,0.009251577445963069,21.993451463014853,21.993451463014853,0.013850339434925718,4,1.0,1.0,2.165172943675565e-37,1.809201347587778e-07
knot.5_2.fseries,5_2\knot.5_2.fseries,.fseries,5_2,0.0029020197813018687,6.12688333490388,6.12688333490388,4.8147187876377275,5,1.0,2.0,1.2063374453162915e-37,1.0080060062116057e-07
knot.5_2d.fseries,5_2\knot.5_2d.fseries,.fseries,5_2d,0.0025537323404482637,6.265969536408236,6.265969536408236,-4.607060434368968,6,-1.0,-3.0,-1.850583715194653e-37,-1.5463330821373168e-07
knot.5_2r.fseries,5_2\knot.5_2r.fseries,.fseries,5_2r,0.002722736823153196,5.79686707677423,5.79686707677423,4.464269955932819,6,1.0,3.0,1.7120395733005216e-37,1.4305666954625655e-07
