Knot,Ropelength,Writhe,Average Crossing Number
12a1,107.17451,2.15834,49.19608587
12a2,105.82171,2.84353,48.69438277
12a3,107.51164,0.000699,48.6350329
12a4,110.04769,0.0937,50.17001484
12a5,106.30156,7.00674,50.49660161
12a6,107.37657,5.04129,49.31854973
12a7,107.46051,7.0953,49.36215521
12a8,108.94524,0.29255,49.05800282
12a9,106.27815,2.86967,47.56555433
12a10,106.99421,6.93127,48.853204
12a11,105.65835,11.97613,48.6127217
12a12,106.86368,9.0572,47.14891745
12a13,111.0108,1.87814,50.97991126
12a14,107.44013,7.10908,49.61700969
12a15,107.26349,2.19863,50.17759873
12a16,107.85385,0.15781,48.34836045
12a17,106.86001,4.77974,49.26610282
12a18,106.92779,2.73652,49.30429173
12a19,106.93868,6.9843,47.7597878
12a20,107.43357,2.10035,47.26720793
12a21,108.08538,13.97284,49.29669615
12a22,110.86432,3.7533,47.46662803
12a23,105.92565,0.04753,48.67207312
12a24,109.42288,9.63389,48.27729637
12a25,107.93284,0.06795,48.5567726
12a26,107.0821,11.83451,45.97727935
12a27,107.12274,9.03575,47.89683231
12a28,107.14154,6.93418,48.69153678
12a29,107.61776,6.88127,49.01104018
12a30,106.50496,2.05506,49.22466391
12a31,105.38169,6.95474,47.70607871
12a32,105.84731,4.98238,49.20391219
12a33,108.42741,1.91333,49.3444668
12a34,105.14705,16.9545,46.07028233
12a35,107.09567,13.98462,48.18488485
12a36,107.09295,16.95294,47.27048449
12a37,107.29519,13.97315,46.24594044
12a38,105.914,11.19249,44.22754465
12a39,106.80567,4.97422,48.83089884
12a40,107.61028,7.0557,48.69987864
12a41,106.87524,11.83948,48.34235506
12a42,106.35997,8.94304,47.33297571
12a43,107.48596,21.11791,49.61322836
12a44,107.62266,14.13557,50.32008222
12a45,106.63407,4.8337,49.48667875
12a46,106.87338,2.08494,49.76033093
12a47,106.47204,13.88384,47.94000673
12a48,107.24221,0.01354,50.19532648
12a49,108.52042,9.21604,49.71137256
12a50,106.61788,5.03549,46.5155194
12a51,106.93632,2.02014,49.31350923
12a52,105.23497,23.97184,47.50912656
12a53,108.02371,21.0002,48.87768516
12a54,106.70598,2.06685,47.25520762
12a55,107.34055,20.98265,47.17322133
12a56,105.15395,18.06966,46.16324971
12a57,108.22387,1.99112,49.04682632
12a58,106.74985,0.07325,48.28695437
12a59,108.01843,6.934,50.50316845
12a60,106.84094,0.01539,50.46559676
12a61,107.74744,5.06318,46.67944377
12a62,106.4628,2.10747,46.30649035
12a63,107.48825,7.0657,50.26357166
12a64,108.11461,14.11083,51.03420757
12a65,107.94436,4.93256,49.7119132
12a66,107.39064,2.2566,50.4356497
12a67,106.27134,4.92264,49.98457674
12a68,106.39278,2.08597,50.59161857
12a69,108.89521,7.1356,49.63539737
12a70,106.9734,11.92241,50.35069124
12a71,105.76703,4.95636,48.6410088
12a72,105.76388,2.09042,50.05144171
12a73,107.087,6.9406,49.86302533
12a74,107.9165,6.94402,50.12477392
12a75,106.62229,13.99362,48.33403978
12a76,105.16679,11.08664,47.69224795
12a77,111.77024,0.61028,48.56951693
12a78,107.16614,11.93744,47.98836291
