knot_id,N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.01,plateau_0.01,8,0.0017272137162901559,0.009015481226507754,0.007288267510217598,0.007288483212744799,0.004440457301041442,0.07959323034894507,0.0784794466208691,0.02154619400010626,0.048157405446885536,0.12360433985887495,-0.0010980249250785723,0.04502346161009061,0.026411129352283742,0.06348516769950599,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.02,plateau_0.02,11,0.0017272137162901559,0.018304173699959028,0.01657695998366887,0.016577450593015575,0.005622741313623346,0.09244669161845558,0.07959323034894507,0.018891526683667746,0.048157405446885536,0.12360433985887495,1.5758802997395405e-05,0.05054278167089592,0.026411129352283742,0.06557092319408377,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.04,plateau_0.04,14,0.0017272137162901559,0.03716304947240784,0.03543583575611768,0.03543688451006577,0.009015481226507754,0.07736566289279313,0.07919721099860583,0.0168128800884203,0.048157405446885536,0.12360433985887495,-0.0003802605473418458,0.05338720357496836,0.026411129352283742,0.07503493572683648,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.06,plateau_0.06,16,0.0017272137162901559,0.05958708682302286,0.057859873106732705,0.05786158551929648,0.01141587798684425,0.09041114234292666,0.08002665728210928,0.015729189539724766,0.048157405446885536,0.12360433985887495,0.0004491857361616086,0.05824052570501731,0.026411129352283742,0.09042083831616161,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.08,plateau_0.08,17,0.0017272137162901559,0.07545231315695632,0.07372509944066616,0.07372728139820892,0.01141587798684425,0.09041114234292666,0.07959323034894507,0.01526384990359554,0.048157405446885536,0.12360433985887495,1.5758802997395405e-05,0.06196032863664986,0.026411129352283742,0.09659667277707393,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.1,plateau_0.10,18,0.0017272137162901559,0.09554169979217308,0.09381448607588293,0.0938172625960513,0.014455387009995126,0.0712175795813289,0.07964105459488258,0.014833798404438282,0.048157405446885536,0.12360433985887495,6.358304893490374e-05,0.062084966902822114,0.026411129352283742,0.10885062507995631,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.12,plateau_0.12,18,0.0017272137162901559,0.09554169979217308,0.09381448607588293,0.0938172625960513,0.014455387009995126,0.0712175795813289,0.07964105459488258,0.014833798404438282,0.048157405446885536,0.12360433985887495,6.358304893490374e-05,0.062084966902822114,0.026411129352283742,0.10885062507995631,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.14,plateau_0.14,19,0.0017272137162901559,0.1209799410680645,0.11925272735177435,0.1192562567385085,0.014455387009995126,0.0712175795813289,0.07959323034894507,0.014439331381505717,0.048157405446885536,0.12360433985887495,1.5758802997395405e-05,0.062209605168994375,0.026411129352283742,0.12093942891299791,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,32000,32000,32000,16.372460430715797,0.9999704050183138,0.16,plateau_0.16,20,0.0017272137162901559,0.15319118429617243,0.15146397057988228,0.15146845328598332,0.018304173699959028,0.08469810522948855,0.0792473606298362,0.014075468963545792,0.048157405446885536,0.12360433985887495,-0.0003301109161114729,0.06284738643425018,0.026411129352283742,0.13716362467025725,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.01,plateau_0.01,9,0.0011616703348980054,0.008840875383635668,0.007679205048737663,0.007679432351561848,0.003204712571776068,0.06622072400246205,0.07881321235366093,0.015744257000572043,0.05230488429094565,0.11501537599559536,-0.0007642591922867453,0.047074556576937335,0.02527300737826378,0.05932082125151337,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.02,plateau_0.02,12,0.0011616703348980054,0.018924521518401013,0.017762851183503008,0.017763376960092375,0.0053228248597378056,0.08137296725670537,0.07967654318940723,0.013702447754500842,0.05230488429094565,0.11501537599559536,9.907164345955566e-05,0.05154900814507684,0.02527300737826378,0.06746736932054263,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.04,plateau_0.04,14,0.0011616703348980054,0.031432433124872046,0.03027076278997404,0.03027165879806716,0.006859914815350111,0.07881321235366093,0.07967654318940723,0.012712620604975723,0.05230488429094565,0.11501537599559536,9.907164345955566e-05,0.053916679297626974,0.02527300737826378,0.07558984291428113,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.06,plateau_0.06,16,0.0011616703348980054,0.05220728308448308,0.05104561274958507,0.051047123688786014,0.008840875383635668,0.08495337035298926,0.07942178904073752,0.011892633058527,0.05230488429094565,0.11501537599559536,-0.0001556825052101557,0.0574870307886937,0.02527300737826378,0.09124945808616741,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.08,plateau_0.08,17,0.0011616703348980054,0.06728335501124567,0.06612168467634767,0.06612364186404762,0.008840875383635668,0.08495337035298926,0.0797490481017357,0.011537594442960323,0.05230488429094565,0.11501537599559536,0.00017157655578803332,0.05921570572833401,0.02527300737826378,0.1005378522279705,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.1,plateau_0.10,18,0.0011616703348980054,0.0867129947031248,0.0855513243682268,0.08555385666909886,0.011393884567498964,0.07525644889285563,0.07945106370041494,0.011213276068512646,0.05230488429094565,0.11501537599559536,-0.0001264078455327361,0.05926826348992369,0.02527300737826378,0.11080134352987958,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.12,plateau_0.12,19,0.0011616703348980054,0.11175339649943747,0.11059172616453947,0.11059499965593983,0.011393884567498964,0.07525644889285563,0.07961931281772146,0.010914212158401666,0.05230488429094565,0.11501537599559536,4.184127177378483e-05,0.05932082125151337,0.02527300737826378,0.12534206306193324,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.14,plateau_0.14,19,0.0011616703348980054,0.11175339649943747,0.11059172616453947,0.11059499965593983,0.011393884567498964,0.07525644889285563,0.07961931281772146,0.010914212158401666,0.05230488429094565,0.11501537599559536,4.184127177378483e-05,0.05932082125151337,0.02527300737826378,0.12534206306193324,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,48000,48000,48000,16.372460430715797,0.9999704010903698,0.16,plateau_0.16,20,0.0011616703348980054,0.14402479895796325,0.14286312862306524,0.1428673573410643,0.014684134760884327,0.0806723151814405,0.0793861960584078,0.010641204071219261,0.05230488429094565,0.11501537599559536,-0.00019127548753987422,0.06131069470785781,0.02527300737826378,0.1412171207871112,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,64000,64000,64000,16.3724604307158,0.9999704040834092,0.01,plateau_0.01,10,0.0008767186246235974,0.009623614456975203,0.008746895832351605,0.00874715471241288,0.0033182076226483054,0.06925950074264621,0.0801264416048704,0.022674960502517365,0.04982327346484979,0.13452291455334092,0.0005489700589227237,0.05148758655176916,0.024211920120694976,0.06697670956574749,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,64000,64000,64000,16.3724604307158,0.9999704040834092,0.02,plateau_0.02,12,0.0008767186246235974,0.01638911661845162,0.01551239799382802,0.015512857111053165,0.004330242532881903,0.08853835814517955,0.0801264416048704,0.020756209966391,0.04982327346484979,0.13452291455334092,0.0005489700589227237,0.05268145983119729,0.024211920120694976,0.06725149941556557,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,64000,64000,64000,16.3724604307158,0.9999704040834092,0.04,plateau_0.04,15,0.0008767186246235974,0.036423488621875076,0.03554676999725148,0.03554782206762838,0.0056509424743633315,0.08017982183580083,0.07957156623406485,0.018570016344797474,0.04982327346484979,0.13452291455334092,-5.905311882825615e-06,0.05587643122840857,0.024211920120694976,0.0844789771156619,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
