a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0031952988681547834,0.06353061013138375,-0.01604686141456392,0.028347140655055853,1,1,1,1,1,1,1,1,1
0.003936911823579987,0.09531711606992221,0.01573964452397454,0.043770952074498624,1,1,1,1,1,1,1,1,1
0.004850649452892774,0.07625334414976688,-0.0033241273961807927,0.03661947062246013,1,1,1,1,1,1,1,1,1
0.005976461035760085,0.06354409830896182,-0.01603337323698585,0.03167601382147604,1,1,1,1,1,1,1,1,1
0.0073635678807210765,0.10212340600883946,0.022545934462891784,0.05257265419412941,1,1,1,1,1,1,1,1,1
0.009072615316915746,0.08048698310928923,0.0009095115633415557,0.04373351112505542,1,1,1,1,1,1,1,1,1
0.01117832415237731,0.06642922675936061,-0.013148244786587063,0.037745828064851425,0,1,1,1,1,1,1,1,1
0.013772757522590584,0.08197223538447376,0.00239476383852609,0.048404611172875776,0,1,1,1,1,1,1,1,1
0.016969345958332594,0.0874923363848109,0.007914864838863223,0.0542922252842244,0,1,1,1,1,1,1,1,1
0.02090784665171505,0.08699194172414888,0.00741447017820121,0.05708075302330026,0,0,1,1,1,1,1,1,1
0.025760453743179222,0.0707743426607542,-0.008803128885193467,0.049250655237575235,0,0,1,1,1,1,1,1,1
0.03173932677567453,0.08113011739180599,0.0015526458458583192,0.05938164686814126,0,0,1,1,1,1,1,1,1
0.03910586646556187,0.08395677213847456,0.004379300592526891,0.06532996391271101,0,0,1,1,1,1,1,1,1
0.04818214333375242,0.0756476045484837,-0.003929866997463977,0.06297867876772709,0,0,0,1,1,1,1,1,1
0.05936497886522172,0.08008204278157985,0.0005045712356321758,0.07115149584973728,0,0,0,1,1,1,1,1,1
0.07314329483552588,0.07979975931374879,0.00022228776780111592,0.07633181471867266,0,0,0,0,1,1,1,1,1
0.09011948932960653,0.08063381386470635,0.001056342318758674,0.08350360452645417,0,0,0,0,0,1,1,1,1
0.11103577402811261,0.07829282082354572,-0.001284650722401956,0.08846657224050156,0,0,0,0,0,0,1,1,1
0.13680662424672346,0.07918676605831368,-0.0003907054876339938,0.0981606141464899,0,0,0,0,0,0,0,1,1
0.16855876046800516,0.07876402115932755,-0.0008134503866201181,0.10826381877960689,0,0,0,0,0,0,0,0,0
0.2076804093877115,0.07741590032989093,-0.002161571216056743,0.11932989062449761,0,0,0,0,0,0,0,0,0
0.25588199820462226,0.07775116614636529,-0.0018263053995823814,0.13608577434785235,0,0,0,0,0,0,0,0,0
0.3152709357528091,0.07594531524261902,-0.0036321563033286514,0.15386370330216537,0,0,0,0,0,0,0,0,0
